FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.355023,"LINESTRING (16.448881374013936 48.25298705679732, 16.448852005832556 48.25301219324483, 16.44882590172072 48.253035144530635, 16.448798155216153 48.25305372901853, 16.448772046258338 48.253074496095536, 16.44873124161836 48.2531018267992, 16.44868716635179 48.253129161816176, 16.448644719981722 48.253153219481554)",22,Haberergasse,gg¸. 2 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h",2 h,355023,,2010-11-02
KURZPARKSTREIFENOGD.355024,"LINESTRING (16.391490821163025 48.27000668079035, 16.391383402401832 48.27023821216182)",21,Prager Straﬂe,80-86 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355024,,2010-09-13
KURZPARKSTREIFENOGD.355025,"LINESTRING (16.398776912552414 48.25670665019332, 16.398616044836373 48.256509424691814)",21,Franz-Jonas-Platz,3 ,"Mo.-Fr. (w.) v.13-18h, Sa. (w.) v. 8-12h","1,5 h",355025,,2010-08-31
KURZPARKSTREIFENOGD.355026,"LINESTRING (16.309665622761088 48.1671385536362, 16.30973788415284 48.167118432084976, 16.309817372216532 48.167093478270424, 16.309919744045168 48.167059669014066, 16.30995226271967 48.16704920377233)",12,Hetzendorfer Straﬂe,77 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355026,,2010-08-17
KURZPARKSTREIFENOGD.355027,"LINESTRING (16.34575552677046 48.1717242967074, 16.346118535992048 48.1717444991475, 16.346481546410565 48.17176919818239, 16.346931949107898 48.17181187317757, 16.347335296236345 48.17185005441864)",12,Unter-Meidlinger-Straﬂe,16-22 ,Mo.-Fr. (w.) v. 9-19h,3 h,355027,,2012-10-01
KURZPARKSTREIFENOGD.355028,"LINESTRING (16.346102753291166 48.174117551517995, 16.34625958133713 48.17394966668333, 16.34619235006887 48.173919697070474, 16.346416382384554 48.17365288164929, 16.34651050228214 48.173673856582404, 16.346774845801125 48.17330211836249, 16.346940617473873 48.173065285125745, 16.347088456775204 48.17280447178412, 16.347218373153787 48.17257063855767, 16.3473482771592 48.17228584389479, 16.34744681969059 48.172055012711006)",12,Karplusgasse,2-12 ,Mo.-Fr. (w.) v. 9-19h,3 h,355028,,2012-10-01
KURZPARKSTREIFENOGD.355029,"LINESTRING (16.29986850235046 48.1843571887353, 16.30004589445852 48.18432189660315)",13,Trauttmansdorffgasse,4 ,"Mo.-Fr. (w.) v. 9-18h, Sa. (w.) v. 9-12h","1,5 h",355029,,2010-11-08
KURZPARKSTREIFENOGD.355030,"LINESTRING (16.430287740922864 48.25006157750521, 16.43025476465407 48.24965764064931)",22,Tokiostraﬂe,12 bis 14,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355030,,2010-03-24
KURZPARKSTREIFENOGD.355031,"LINESTRING (16.429987081633627 48.25051010879069, 16.429950289124903 48.250090978885424)",22,Tokiostraﬂe,11 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355031,,2010-03-24
KURZPARKSTREIFENOGD.355032,"LINESTRING (16.366955168390316 48.19537349366842, 16.36692509533815 48.19524203469295, 16.366924936709367 48.19497798658315)",4,Wiedner Hauptstraﬂe,32 bis 36,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355032,,2010-02-25
KURZPARKSTREIFENOGD.355033,"LINESTRING (16.38269461316355 48.144402193619655, 16.382682084971567 48.144601487479086)",10,Himberger Straﬂe,9 bis 11,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355033,,2010-04-12
