FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1007,1007,POINT (16.302672482087807 48.196634315226625),Turnsaal,"14., M‰rzstraﬂe 180",157,Turnsaal 157 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1008,1008,POINT (16.30624619311187 48.200880533645844),Schulsport outdoor,"14., Spallartgasse 18",2131,Hartplatz 1017 m≤<br />Rasenfl‰che 1114 m≤,,
SPORTSTAETTENOGD.1009,1009,POINT (16.3062596403496 48.20088953032014),Turnsaal,"14., Spallartgasse 18",966,Turnsaal 322 m≤<br />Turnsaal 322 m≤<br />Turnsaal 322 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1010,1010,POINT (16.31903147846379 48.20269121768687),Turnsaal,"15., Auf der Schmelz 4",754,Turnsaal 1+2 gesamt 754 m≤,,
SPORTSTAETTENOGD.1011,1011,POINT (16.31904492841447 48.202700212863085),Schulsport outdoor,"15., Auf der Schmelz 4",2575,Hartplatz 2575 m≤,,
SPORTSTAETTENOGD.1012,1012,POINT (16.318054966333573 48.20514252007138),Schulsport outdoor,"15., Auf der Schmelz 6",42110,"Rasenpl‰tze,<br />Mehrweckpl‰tze,<br />Tennispl‰tze,<br />Leichtathletikanlagen gesamt 42110 m≤",http://www.univie.ac.at/USI-Wien/,
SPORTSTAETTENOGD.1013,1013,POINT (16.317069340774594 48.203859574837544),Turnsaal,"15., Auf der Schmelz 6",3000,"3-fach Halle,<br />3 Turns‰le,<br />Kraftra‰ume,<br />Hallenschwimmbecken gesamt 3000 m≤",http://www.univie.ac.at/USI-Wien/,
SPORTSTAETTENOGD.1014,1014,POINT (16.318451792894862 48.203866090012625),Schulsport outdoor,"15., Auf der Schmelz, ¸ber Wasserbeh‰lter",19644,"Rasenspielfeld,<br />Hartplatz gesamt 19644 m≤",http://www.schulsport-serviceteam.at/index.php?option=com_content&view=article&id=68&Itemid=65,
SPORTSTAETTENOGD.1015,1015,POINT (16.330191786421764 48.19655033879983),Turnsaal,"15., Benedikt-Schellinger-Gasse 1-3",150,Turnsaal 150 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1016,1016,POINT (16.333786315305527 48.185877331622024),Turnsaal,"15., Diefenbachgasse 19",238,Turnsaal 1+2 gesamt 238 m≤,,
