FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676452,676452,POINT (16.406737443600896 48.18313400613859),"11., Simmeringer Hauptstr 13",11,Simmeringer Hauptstr,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676453,676453,POINT (16.39512943178711 48.212153680523606),"2., Sch¸ttelstraﬂe 13",2,Sch¸ttelstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676454,676454,POINT (16.377215224334236 48.17460174819096),"10., Buchengasse 67A",10,Buchengasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676455,676455,POINT (16.364806978943506 48.16980430400042),"10., Troststraﬂe 63-67",10,Troststraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676456,676456,POINT (16.327809138289734 48.205033917249445),"16., Gablenzgasse 50",16,Gablenzgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676457,676457,POINT (16.319644273139637 48.21359976097576),"16., Ottakringer Straﬂe 144",16,Ottakringer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676458,676458,POINT (16.319593316424935 48.218511190795944),"16., Effingergasse 4",16,Effingergasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676459,676459,POINT (16.375731612679715 48.17404459965137),"10., Rotenhofgasse 10",10,Rotenhofgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676460,676460,POINT (16.353730439108926 48.194748151319274),"6., Linke Wienzeile 90-92",6,Linke Wienzeile,Tankstelle,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676461,676461,POINT (16.35775861221588 48.20059231769807),"6., Mariahilfer Straﬂe 29",6,Mariahilfer Straﬂe,Lottokollektur,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676462,676462,POINT (16.37129772368836 48.210149615454554),"1., Wildpretmarkt 1",1,Wildpretmarkt,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676463,676463,POINT (16.398447599159113 48.25649150753358),"21., Franz-Jonas-Platz 2-3",21,Franz-Jonas-Platz,Lottokollektur,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676464,676464,POINT (16.376552156513014 48.18954043861933),"4., Goldeggasse 21",4,Goldeggasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676465,676465,POINT (16.381090228855527 48.21311313364002),"2., Praterstraﬂe 11",2,Praterstraﬂe,Zigarettenautomat,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676466,676466,POINT (16.314800729003583 48.2122979258877),"16., Thaliastraﬂe 120-122",16,Thaliastraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
