FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17759,POINT (16.461605123755017 48.19218238750864),Auslaufbrunnen,17759,
TRINKBRUNNENOGD.17760,POINT (16.44764934072441 48.19528682796947),Auslaufbrunnen,17760,
TRINKBRUNNENOGD.17761,POINT (16.361280740799078 48.2168359919009),Auslaufbrunnen,17761,
TRINKBRUNNENOGD.17762,POINT (16.479625542638868 48.167526245284414),Auslaufbrunnen,17762,
TRINKBRUNNENOGD.17763,POINT (16.366982914622433 48.254208607137),Auslaufbrunnen,17763,
TRINKBRUNNENOGD.17764,POINT (16.277890038767172 48.21537199384166),Auslaufbrunnen,17764,
TRINKBRUNNENOGD.17765,POINT (16.24816481348387 48.21000706662514),Auslaufbrunnen,17765,
TRINKBRUNNENOGD.17766,POINT (16.44744166890938 48.28768708548947),Auslaufbrunnen,17766,
TRINKBRUNNENOGD.17767,POINT (16.3772199228911 48.17677603930111),Auslaufbrunnen,17767,
TRINKBRUNNENOGD.17768,POINT (16.44513793169481 48.28692290570232),Auslaufbrunnen,17768,
TRINKBRUNNENOGD.17769,POINT (16.371067107333918 48.2327497530557),Auslaufbrunnen,17769,
TRINKBRUNNENOGD.17770,POINT (16.359433074584874 48.21022059392731),Auslaufbrunnen,17770,
TRINKBRUNNENOGD.17771,POINT (16.421961083948958 48.28914036705858),Auslaufbrunnen,17771,
TRINKBRUNNENOGD.17772,POINT (16.39983450019164 48.27819357778195),Auslaufbrunnen,17772,
TRINKBRUNNENOGD.17773,POINT (16.414138109061362 48.225031621849496),Auslaufbrunnen,17773,
TRINKBRUNNENOGD.17774,POINT (16.386083308082355 48.242718384646196),Auslaufbrunnen,17774,
TRINKBRUNNENOGD.17775,POINT (16.417041011235973 48.22253216823118),Auslaufbrunnen,17775,
TRINKBRUNNENOGD.17776,POINT (16.42111546652696 48.219635048843955),Auslaufbrunnen,17776,
TRINKBRUNNENOGD.17777,POINT (16.470289847683034 48.19108562431149),Auslaufbrunnen,17777,
