FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.475239,POINT (16.400578742546514 48.20606531293705),Rustenschacherallee,,1,Prater,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475239,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475240,POINT (16.439530705170135 48.19270145320716),Lusthaus,,1,Prater,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475240,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475241,POINT (16.298557207199845 48.196460983265965),Rottstraﬂe,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475241,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475242,POINT (16.291542661420852 48.21404268305425),Franz-Eichert-Weg,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,16,475242,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475243,POINT (16.351473558680627 48.2051534565336),Kirchengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,475243,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475244,POINT (16.35046648785866 48.21060610916739),Maria-Treu-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,8,475244,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475245,POINT (16.359356881542155 48.17184768609371),Malborghetgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475245,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475246,POINT (16.358878358607825 48.16765107098396),Brunnweg,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475246,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475247,POINT (16.313972783091724 48.20647693038685),Minciostraﬂe,,3,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,15,475247,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475248,POINT (16.2985196084612 48.19617184761274),Rottstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475248,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475276,POINT (16.456128095275258 48.22880297814629),Erzherzog-Karl-Straﬂe,Mo.-Fr.(w.)v.5.30-18h,4,Amtshaus,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475276,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475277,POINT (16.332320524765187 48.219131197242085),Rˆtzergasse,Mo-Fr (w) v. 7-20h,5,"Amtshaus, Bezirksgericht, Volkshochschule",http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,17,475277,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475278,POINT (16.28872704842804 48.170348513823946),Feldkellergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475278,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475279,POINT (16.28294895606534 48.17013173597433),Anton-Langer-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475279,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475280,POINT (16.30844380457247 48.169629071460676),Bethlengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475280,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475281,POINT (16.36554570117202 48.22439670393428),Rˆgergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,9,475281,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475282,POINT (16.406762594728573 48.22302248984649),Wehlistraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475282,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475283,POINT (16.290657894550257 48.22952033685453),Heuberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,17,475283,,3,Privat mit Kennzeichen
