FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327323,POINT (16.36209875340181 48.19670254331076),Preﬂgasse,3,4,327323,
MOTORRADABSTELLPLATZOGD.327324,POINT (16.334945966511416 48.20121282950746),H¸tteldorfer Straﬂe,7,15,327324,
MOTORRADABSTELLPLATZOGD.327325,POINT (16.356425688141847 48.22352642650876),Boltzmanngasse,3,9,327325,
MOTORRADABSTELLPLATZOGD.327326,POINT (16.362618107798266 48.16643964570106),Zohmanngasse,4,10,327326,
MOTORRADABSTELLPLATZOGD.327327,POINT (16.374400305346533 48.200919019342635),Schwarzenbergplatz,5,1,327327,
MOTORRADABSTELLPLATZOGD.327328,POINT (16.281752376832614 48.135341603953115),Lehmanngasse,11,23,327328,
MOTORRADABSTELLPLATZOGD.327329,POINT (16.352445716009992 48.20426328854932),Burggasse,3,7,327329,
MOTORRADABSTELLPLATZOGD.327330,POINT (16.359943288778155 48.24559467674976),Eduard-Pˆtzl-Gasse,4,19,327330,
MOTORRADABSTELLPLATZOGD.327331,POINT (16.341648873379466 48.203318724759015),Halbgasse,2,7,327331,
MOTORRADABSTELLPLATZOGD.327332,POINT (16.359239652915615 48.16943371300001),Malborghetgasse,3,10,327332,
