FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.1911,1911,POINT (16.51671598696797 48.225242440654945),Niklas-Eslar*,Z,Niklas-Eslarn-Straße,Niklas-Eslarn-Straße,1,1,
OEFFGRUENPKTGOGD.1912,1912,POINT (16.51836419395008 48.21806602102612),Niklas-Eslar*,Z,Niklas-Eslarn/Rosenbergst,Rosenbergstraße,1,0,
OEFFGRUENPKTGOGD.1913,1913,POINT (16.506036397245722 48.215460978184076),Eßlinger Hau*,Z,Eßlinger Hauptstraße,Eßlinger Hauptstraße,1,0,
OEFFGRUENPKTGOGD.1914,1914,POINT (16.510507878253613 48.215380536178785),Eßlinger Hau*,Z,Eßlinger Hauptstraße,Eßlinger Hauptstraße,1,0,
OEFFGRUENPKTGOGD.1915,1915,POINT (16.51717325079921 48.22585686917001),Niklas-Eslar*,Z,Niklas-Eslarn-Straße,Niklas-Eslarn-Straße,1,1,
OEFFGRUENPKTGOGD.1916,1916,POINT (16.51969896495376 48.23563464841503),ÖBB Ostbahn *,Z,ÖBB Ostbahn /Untere Ried,Untere Ried,1,0,
OEFFGRUENPKTGOGD.1917,1917,POINT (16.512515875522492 48.2352191769936),ÖBB Ostbahn *,Z,ÖBB Ostbahnbegleitstr,Ostbahnbegleitstraße,1,0,
OEFFGRUENPKTGOGD.1918,1918,POINT (16.513180139679708 48.238940945148094),Lange Neuris*,Z,Obere und Mittlere Ried,Obere und Mittlere Ried,1,0,
OEFFGRUENPKTGOGD.1919,1919,POINT (16.52230044296599 48.24150614330121),Lange Neuris*,Z,Lange Neurisse,Lange Neurisse,1,0,
OEFFGRUENPKTGOGD.1920,1920,POINT (16.516735205270773 48.25041926087988),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1921,1921,POINT (16.502278133714697 48.254631362393575),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1922,1922,POINT (16.500354962437783 48.257144994361354),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1923,1923,POINT (16.50563758578932 48.2528931475164),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1924,1924,POINT (16.5044203920146 48.25689592387721),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1925,1925,POINT (16.50946755358561 48.25517528309828),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1926,1926,POINT (16.51483748225854 48.25078904374979),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1927,1927,POINT (16.50168982767894 48.253861885953704),AgavenwegO,Z,Agavenweg Ost,Agavenweg Ost,1,0,
OEFFGRUENPKTGOGD.1928,1928,POINT (16.50013976169098 48.25445570829105),AgavenwegO,Z,Agavenweg Ost,Agavenweg Ost,1,0,
OEFFGRUENPKTGOGD.1929,1929,POINT (16.500189649580047 48.27695092991886),Badeteich Sü*,Z,Badeteich Süßenbrunn,Badeteich Süßenbrunn,1,0,
OEFFGRUENPKTGOGD.1930,1930,POINT (16.484001101416098 48.268188518223695),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1931,1931,POINT (16.50006539639134 48.258458801836625),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1932,1932,POINT (16.482321946785163 48.271420442200444),Badeteich Sü*,Z,Badeteich Süßenbrunn,Badeteich Süßenbrunn,1,0,
OEFFGRUENPKTGOGD.1933,1933,POINT (16.491962341130094 48.26957889320434),Badeteich Sü*,Z,Badeteich Süßenbrunn,Badeteich Süßenbrunn,1,0,
OEFFGRUENPKTGOGD.1934,1934,POINT (16.482000074018856 48.26877219136995),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1935,1935,POINT (16.478487076814595 48.26983128449589),Breitenlee B*,Z,Breitenlee Bhf,Breitenlee Bhf,10,0,
OEFFGRUENPKTGOGD.1936,1936,POINT (16.479110966097448 48.27376526126689),Zwerchäckerw*,Z,Zwerchäckerweg,Zwerchäckerweg,1,0,
OEFFGRUENPKTGOGD.1937,1937,POINT (16.478410820357244 48.27001714004123),Zwerchäckerw*,Z,Zwerchäckerweg,Zwerchäckerweg,1,0,
