FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481754,POINT (16.383977741473103 48.19799551645379),Volksschule Reisnerstraße 43,"3., Reisnerstraße 43",481754,
SCHULEOGD.481756,POINT (16.341682537017693 48.206006417574294),Volksschule Neustiftgasse 98-102,"7., Neustiftgasse 98",481756,
SCHULEOGD.481759,POINT (16.458985847532674 48.220420464013486),Volksschule Wulzendorfstraße 1,"22., Wulzendorfstraße 1",481759,
SCHULEOGD.481762,POINT (16.444085950163156 48.242792209492684),Volksschule Natorpgasse 1,"22., Natorpgasse 1",481762,
SCHULEOGD.481763,POINT (16.383319392712732 48.26612142182035),Volksschule Christian-Bucher-Gasse 14,"21., Christian-Bucher-Gasse 14",481763,
SCHULEOGD.481764,POINT (16.39826506920125 48.19288086019006),Volksschule Landstraßer Hauptstraße 146,"3., Landstraßer Hauptstraße 146",481764,
SCHULEOGD.481766,POINT (16.438434975791022 48.246358826963345),Volksschule Meißnergasse 1,"22., Meißnergasse 1",481766,
SCHULEOGD.481768,POINT (16.383821458713722 48.14900881865377),Volksschule Ada-Christen-Gasse 9,"10., Ada-Christen-Gasse 9",481768,
SCHULEOGD.481769,POINT (16.365291653990983 48.19438510194923),Volksschule Schäffergasse 3,"4., Schäffergasse 3",481769,
SCHULEOGD.481774,POINT (16.32983140885595 48.2066886098444),Volksschule Liebhartsgasse 19-21,"16., Liebhartsgasse 19-21",481774,
SCHULEOGD.481789,POINT (16.424295997233816 48.23655392093369),Volksschule Wagramer Straße 27,"22., Wagramer Straße 27",481789,
SCHULEOGD.481790,POINT (16.36793811822546 48.2406103058715),Volksschule Spielmanngasse 1,"20., Spielmanngasse 1",481790,
SCHULEOGD.481791,POINT (16.32183207073233 48.21974288688506),Volksschule Wichtelgasse 67,"17., Wichtelgasse 67",481791,
SCHULEOGD.481796,POINT (16.383380896187774 48.24128926412226),Volksschule Engerthstraße 78-80,"20., Engerthstraße 78-80",481796,
SCHULEOGD.481804,POINT (16.419171880866102 48.2264131073224),Volksschule Am Kaisermühlendamm 2,"22., Am Kaisermühlendamm 2",481804,
SCHULEOGD.481808,POINT (16.44474985094315 48.271433704393644),Volksschule Pastorstraße 29,"21., Pastorstraße 29",481808,
SCHULEOGD.481810,POINT (16.255625596451566 48.20218922693755),Volksschule Linzer Straße 419,"14., Linzer Straße 419",481810,
SCHULEOGD.481814,POINT (16.28407804809512 48.14471620270723),Volksschule Prückelmayrgasse 6,"23., Prückelmayrgasse 6",481814,
SCHULEOGD.481819,POINT (16.420168739272068 48.2278710529724),Volksschule Schüttaustraße 42,"22., Schüttaustraße 42",481819,
SCHULEOGD.481821,POINT (16.456165452455622 48.25212775246742),Volksschule Markomannenstraße 9,"22., Markomannenstraße 9",481821,
SCHULEOGD.481822,POINT (16.338896794252747 48.22543841212474),Volksschule Schulgasse 57,"18., Schulgasse 57",481822,
SCHULEOGD.481824,POINT (16.390476741615206 48.21030095547883),Expositur der Volksschule Kolonitzgasse 15 Löwengasse 12b,"3., Löwengasse 12B",481824,
SCHULEOGD.481825,POINT (16.517952067429405 48.21110208214919),Volksschule Viktor-Wittner-Gasse 50,"22., Viktor-Wittner-Gasse 50",481825,
SCHULEOGD.481826,POINT (16.272843368799837 48.201954117824016),Volksschule Karl-Toldt-Weg 12,"14., Karl-Toldt-Weg 12",481826,
SCHULEOGD.481830,POINT (16.315854186259344 48.21256251499058),Volksschule Grubergasse 4-6,"16., Grubergasse 4",481830,
SCHULEOGD.481848,POINT (16.384147889210336 48.27694104586937),Volksschule Tomaschekstraße 44,"21., Tomaschekstraße 44",481848,
SCHULEOGD.481851,POINT (16.382015436820463 48.240872006455824),Volksschule Vorgartenstraße 42,"20., Vorgartenstraße 42",481851,
SCHULEOGD.481857,POINT (16.33833847851553 48.185228650799466),Volksschule Haebergasse 1a,"12., Haebergasse 1A",481857,
SCHULEOGD.481862,POINT (16.39287516513196 48.193834348875946),Volksschule Eslarngasse 23,"3., Eslarngasse 23",481862,
SCHULEOGD.481864,POINT (16.371974555404556 48.176162121766744),Volksschule Jagdgasse 22,"10., Jagdgasse 22",481864,
SCHULEOGD.481867,POINT (16.441975172878863 48.26060191629892),Expositur der Volksschule Brioschiweg 3 (Brioschiweg 1,"22., Brioschiweg 1",481867,
SCHULEOGD.481868,POINT (16.38647064204513 48.17124728185014),Volksschule Laimäckergasse 17,"10., Laimäckergasse 17",481868,
SCHULEOGD.481869,POINT (16.284848657660945 48.18956138642016),Volksschule Auhofstraße 49,"13., Auhofstraße 49",481869,
SCHULEOGD.481871,POINT (16.408942492046947 48.23415083192904),Volksschule Leonard-Bernstein-Straße 2,"22., Leonard-Bernstein-Straße 2",481871,
SCHULEOGD.481852,POINT (16.35747786950032 48.22738119213526),Volksschule Marktgasse 31,"9., Marktgasse 31-35",481852,
SCHULEOGD.481874,POINT (16.384102545356786 48.16505788018227),Volksschule Maria-Rekker-Gasse 3,"10., Maria-Rekker-Gasse 3",481874,
SCHULEOGD.481875,POINT (16.41347033597894 48.29993380230398),Volksschule Dr.-Skala-Straße 43-45,"21., Dr.-Skala-Straße 43-45",481875,
SCHULEOGD.481890,POINT (16.341065423235698 48.20971161732207),Volksschule Pfeilgasse 42b,"8., Pfeilgasse 42B",481890,
SCHULEOGD.481891,POINT (16.387168528581295 48.2941201666517),Expositur der Volksschule Brünner Straße 139 Dr.-Albert-Geßmann-Gasse 32,"21., Dr.-Albert-Geßmann-Gasse 32",481891,
SCHULEOGD.481893,POINT (16.408588136538548 48.2769513927962),Volksschule Brünner Straße 139,"21., Brünner Straße 139",481893,
SCHULEOGD.481896,POINT (16.351280285934216 48.18267107375682),Volksschule Einsiedlergasse 7,"5., Einsiedlergasse 7",481896,
SCHULEOGD.481899,POINT (16.317290327045406 48.237292538356016),Volksschule Scheibenbergstraße 63,"18., Scheibenbergstraße 63",481899,
SCHULEOGD.481901,POINT (16.339144062036716 48.24398990411368),Volksschule Flotowgasse 25,"19., Flotowgasse 25",481901,
SCHULEOGD.481902,POINT (16.272580199725883 48.16636314206287),Volksschule Dr.-Schober-Straße 1,"13., Dr.-Schober-Straße 1",481902,
SCHULEOGD.481903,POINT (16.31804830904106 48.150161358755305),Volksschule Anton-Baumgartner-Straße 119,"23., Anton-Baumgartner-Straße 119",481903,
SCHULEOGD.481630,POINT (16.346914455872362 48.18694703293749),Volksschule Am Hundsturm 18,"5., Am Hundsturm 18",481630,
SCHULEOGD.481631,POINT (16.34625119891429 48.21695636898664),Volksschule Gilgegasse 12,"9., Gilgegasse 12",481631,
SCHULEOGD.481632,POINT (16.382152646710843 48.16898135096811),Volksschule Klausenburger Straße 25,"10., Klausenburger Straße 25",481632,
SCHULEOGD.481633,POINT (16.389710002226 48.23456313928766),Volksschule Vorgartenstraße 95-97,"20., Vorgartenstraße 95-97",481633,
