FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.170,170,POINT (16.33498132590911 48.17716422200154),"12., Wilhelmstraﬂe 32",12,Dˆrfelstraﬂe vor Schule,
MULTIMEDIAOGD.171,171,POINT (16.29604147252226 48.146204394011214),"23., Breitenfurter Straﬂe gegen¸ber von 242",23,Levasseurgasse,
MULTIMEDIAOGD.172,172,POINT (16.417600933570757 48.18577412962583),"11., Guglgasse ",11,u3 Gasometer Vorplatz Dˆblerhofstraﬂe,
MULTIMEDIAOGD.173,173,POINT (16.411951005857322 48.21814397860772),"2., Engerthstraﬂe 235",2,W6 Elderschplatz,
MULTIMEDIAOGD.174,174,POINT (16.380761133266653 48.2002940835663),"3., Traungasse 2",3,,
MULTIMEDIAOGD.175,175,POINT (16.37078113998244 48.169134238263545),"10., Laxenburger Straﬂe 117-119",10,Troststraﬂe,
MULTIMEDIAOGD.176,176,POINT (16.371031221537724 48.229663949307245),"20., Wallensteinplatz 8",20,,
MULTIMEDIAOGD.177,177,POINT (16.385351097464138 48.19014412891048),"3., Fasangasse 38",3,,
MULTIMEDIAOGD.178,178,POINT (16.346861312865734 48.21011405781248),"8., Schˆnborngasse 2",8,Josefst‰dter Straﬂe,
MULTIMEDIAOGD.179,179,POINT (16.376791145401576 48.19455411315908),"4., Prinz Eugen Straﬂe ",4,Plˆﬂlgasse,
MULTIMEDIAOGD.180,180,POINT (16.416250923982545 48.17423418543037),"11., Grillgasse 2",11,Simmeringer Hauptstraﬂe,
MULTIMEDIAOGD.181,181,POINT (16.39999112469832 48.26141377989526),"21., Br¸nner Straﬂe 24-32",21,,
MULTIMEDIAOGD.182,182,POINT (16.348711300591646 48.20794406658759),"8., Pfeilgasse 1",8,Strozzigasse,
MULTIMEDIAOGD.183,183,POINT (16.399101126997333 48.259903787485946),"21., Angerer Straﬂe 2",21,Br¸nner Straﬂe,
MULTIMEDIAOGD.184,184,POINT (16.318871426536788 48.1929541571978),"15., Felberstraﬂe 110",15,Fenzlgasse,
MULTIMEDIAOGD.185,185,POINT (16.456340857227467 48.26747371682139),"21., Seyringer Straﬂe 19",21,,
MULTIMEDIAOGD.186,186,POINT (16.336891369120814 48.21485404104814),"16., Ottakringer Straﬂe 25",16,Brunnengasse,
MULTIMEDIAOGD.187,187,POINT (16.320571436442506 48.206214093030475),"16., Br¸ﬂlgasse 2",16,Gablenzgasse,
MULTIMEDIAOGD.188,188,POINT (16.3685911744465 48.18636415781675),"4., Alois Drasche Park 5",4,Kolschitzkygasse 23,
MULTIMEDIAOGD.189,189,POINT (16.31180146598193 48.19659414378354),"14., M‰rzstraﬂe gegen¸ber von 132",14,Reinlgasse,
MULTIMEDIAOGD.190,190,POINT (16.31088146943667 48.19571414885161),"14., Goldschlagstraﬂe 137",14,Gurkgasse,
MULTIMEDIAOGD.191,191,POINT (16.343711302159456 48.1908541515846),"6., Gumpendorfer Straﬂe 118",6,Lutherplatz,
MULTIMEDIAOGD.192,192,POINT (16.346061299115426 48.19714412039351),"7., Mariahilfer Straﬂe 90",7,,
MULTIMEDIAOGD.193,193,POINT (16.37740117435453 48.217844002097785),"2., Haidgasse 3",2,W6 Leopoldsgasse gegen¸ber 37,
MULTIMEDIAOGD.194,194,POINT (16.34183131926704 48.19637412661977),"7., Mariahilfer Straﬂe 120",7,,
MULTIMEDIAOGD.195,195,POINT (16.354201243211573 48.18566416987249),"5., Reinprechtsdorfer Straﬂe 40",5,,
MULTIMEDIAOGD.196,196,POINT (16.31630135352055 48.131714451145335),"23., Karl Tornay Gasse 37-43",23,Akaziengasse,
MULTIMEDIAOGD.197,197,POINT (16.32978135574176 48.18023421110104),"12., Meidlinger Hauptstraﬂe 23-25",12,Reschgasse,
MULTIMEDIAOGD.198,198,POINT (16.31975141178788 48.185504192190955),"13., Schˆnbrunner Br¸cke ",13,Schˆnbrunn U 4,
MULTIMEDIAOGD.199,199,POINT (16.363891197672093 48.186724159126896),"5., Wiedner Hauptstraﬂe 87",5,,
MULTIMEDIAOGD.200,200,POINT (16.36360119417886 48.18347417430807),"5., Gassergasse 28",5,Kliebergasse,
MULTIMEDIAOGD.201,201,POINT (16.344941291144078 48.18765416586414),"5., Schˆnbrunner Straﬂe 141",5,St. Johannagasse,
MULTIMEDIAOGD.202,202,POINT (16.3391313752837 48.22724398030019),"18., W‰hringer Straﬂe gegen¸ber von 146",18,Teschnergasse /Schubertpark,
MULTIMEDIAOGD.203,203,POINT (16.32476135387636 48.16144430413159),"12., Am Schˆpfwerk ",12,U-6 Station,
MULTIMEDIAOGD.204,204,POINT (16.348731341272153 48.23717392717072),"19., Peter Jordan Straﬂe 2",19,Billrothstraﬂe,
MULTIMEDIAOGD.205,205,POINT (16.394321111050576 48.23182392504221),"2., Engerthstraﬂe 150",2,W6 Stiege 3,
MULTIMEDIAOGD.206,206,POINT (16.34557132625054 48.2151840346126),"8., Feldgasse 23",8,Alser Straﬂe,
MULTIMEDIAOGD.207,207,POINT (16.38077119683147 48.24610386531055),"20., Friedrich Engels Platz 12",20,Wehlistraﬂe,
