FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.132,132,"LINESTRING (16.368430668474335 48.1777560331993, 16.368331143686476 48.17776263703422)",Erlachplatz,7.437928,
OEFFGRUENLINGOGD.133,133,"LINESTRING (16.369264696140647 48.177703529337606, 16.369367073834365 48.17769664237968)",Erlachplatz,7.652184,
OEFFGRUENLINGOGD.134,134,"LINESTRING (16.369345910151715 48.178225589513325, 16.369445611787604 48.17821888222626)",Erlachplatz,7.452092,
OEFFGRUENLINGOGD.135,135,"LINESTRING (16.37793924856099 48.174220382333054, 16.37795969647885 48.174354075438984)",Park Reumann,14.943561,
OEFFGRUENLINGOGD.136,136,"LINESTRING (16.360167789080606 48.17665788716022, 16.36014961120208 48.17653721176222)",Alois-Greb-P*,13.486407,
OEFFGRUENLINGOGD.137,137,"LINESTRING (16.331507193272103 48.17555005970321, 16.331592559228156 48.17555296516195)",Vivenotpark,6.357096,
OEFFGRUENLINGOGD.138,138,"LINESTRING (16.331466255238773 48.17595177927886, 16.331387713479625 48.176604367853024)",Vivenotpark,72.799173,
OEFFGRUENLINGOGD.139,139,"LINESTRING (16.353125637230146 48.15359657075634, 16.35312699402196 48.15355812705414)",Johann-Benda*,4.275914,
OEFFGRUENLINGOGD.140,140,"LINESTRING (16.359488895436517 48.172030264174005, 16.35942169142237 48.172028075412626)",Fortunapark,5.004396,
OEFFGRUENLINGOGD.141,141,"LINESTRING (16.37854250284781 48.171198245812995, 16.37860720507585 48.17117183752517)",Antonspark,5.637618,
OEFFGRUENLINGOGD.142,142,"LINESTRING (16.328461193804966 48.17273155532836, 16.328500554863577 48.17269112794357)",Theodor-Körn*,5.364544,
OEFFGRUENLINGOGD.143,143,"LINESTRING (16.381253876102825 48.16869875271579, 16.381207557268937 48.16865422830499)",Alfred-BöhmP,6.031694,
OEFFGRUENLINGOGD.144,144,"LINESTRING (16.385762429162675 48.16576078422168, 16.385706454526826 48.165736173220886)",Alfred-BöhmP,4.98257,
OEFFGRUENLINGOGD.145,145,"LINESTRING (16.367537624462546 48.16646739414571, 16.36741886376289 48.16648520175669)",Park Migerka*,9.053287,
OEFFGRUENLINGOGD.146,146,"LINESTRING (16.367531814433928 48.16634254794369, 16.367378756254702 48.16636549824379)",Park Migerka*,11.667855,
OEFFGRUENLINGOGD.147,147,"LINESTRING (16.3016849036972 48.24325231175786, 16.30167164668631 48.2432896535339)",Pötzleinsdor*,4.267413,
OEFFGRUENLINGOGD.148,148,"LINESTRING (16.30659360085247 48.16321522601405, 16.306569422128177 48.16317684832364)",Schlosspark,4.630962,
OEFFGRUENLINGOGD.149,149,"LINESTRING (16.266580843448452 48.149715244446405, 16.266500917284997 48.149713207697694)",Ölzeltpark,5.951608,
OEFFGRUENLINGOGD.150,150,"LINESTRING (16.379058520543 48.15253799822454, 16.378987418583986 48.15255414703002)",Rädda-Barnen*,5.586832,
OEFFGRUENLINGOGD.151,151,"LINESTRING (16.407801181050562 48.14147030763622, 16.407878662677454 48.14145413788631)",Kurpark Ober*,6.040136,
OEFFGRUENLINGOGD.152,152,"LINESTRING (16.28701617769628 48.235538796356025, 16.286872679255872 48.23547396381719)",WienerwaldNW,12.868748,
OEFFGRUENLINGOGD.153,153,"LINESTRING (16.40866200086124 48.13464429152138, 16.408654490205222 48.134612549940904)",unt. Liesing,3.573472,
OEFFGRUENLINGOGD.154,154,"LINESTRING (16.40663666544733 48.13512495229357, 16.406616524692183 48.13508381045505)",unt. Liesing,4.814085,
OEFFGRUENLINGOGD.155,155,"LINESTRING (16.34494284562607 48.13690338104483, 16.34410528092787 48.135141942257036)",Kolpingstraße,205.543028,
OEFFGRUENLINGOGD.156,156,"LINESTRING (16.31445073243253 48.22519366901596, 16.31449066839175 48.225249123780806)",Dr.-Josef-Re*,6.843124,
OEFFGRUENLINGOGD.157,157,"LINESTRING (16.314232947608783 48.22490434701442, 16.31418762677953 48.22484708710679)",Dr.-Josef-Re*,7.20269,
OEFFGRUENLINGOGD.158,158,"LINESTRING (16.30618426796527 48.15227214648921, 16.30609876468023 48.15226920322566)",unt. Liesing,6.370386,
OEFFGRUENLINGOGD.159,159,"LINESTRING (16.352013245864896 48.14708804538065, 16.35197457995421 48.147037101152776)",Hans-Dunkl-P*,6.353548,
OEFFGRUENLINGOGD.160,160,"LINESTRING (16.330669001529486 48.154720784671625, 16.33059336053371 48.15475747720567)",unt. Liesing,6.951226,
OEFFGRUENLINGOGD.161,161,"LINESTRING (16.328909720064743 48.15286014464669, 16.32875631795201 48.1529013358502)",unt. Liesing,12.29863,
OEFFGRUENLINGOGD.162,162,"LINESTRING (16.269939586060286 48.152453377683045, 16.269980727787363 48.152521555003574)",Rathaus-Park,8.17566,
OEFFGRUENLINGOGD.163,163,"LINESTRING (16.269554096922807 48.1518456008336, 16.269461376441935 48.151865681278046)",Rathaus-Park,7.251359,
OEFFGRUENLINGOGD.164,164,"LINESTRING (16.26924453583618 48.15120725729813, 16.269152558452557 48.15122717694798)",Rathaus-Park,7.19333,
OEFFGRUENLINGOGD.165,165,"LINESTRING (16.269448170993 48.15092554445597, 16.269023600501097 48.15096054136331)",Rathaus-Park,31.830266,
OEFFGRUENLINGOGD.166,166,"LINESTRING (16.314266462191377 48.22350021746263, 16.314177845143668 48.22353261016364)",Park Julius *,7.505321,
OEFFGRUENLINGOGD.167,167,"LINESTRING (16.314680393352575 48.223552348414074, 16.31471182580154 48.223590313451844)",Park Julius *,4.824538,
OEFFGRUENLINGOGD.168,168,"LINESTRING (16.321055530988584 48.22439533060583, 16.320923232047022 48.22442987215857)",Clemens-Krau*,10.553779,
OEFFGRUENLINGOGD.169,169,"LINESTRING (16.32224034541696 48.22415491760754, 16.322287737886253 48.22423701278191)",Clemens-Krau*,9.784269,
OEFFGRUENLINGOGD.170,170,"LINESTRING (16.32205235039952 48.22385596968434, 16.3220075670951 48.223778104205856)",Clemens-Krau*,9.275704,
OEFFGRUENLINGOGD.171,171,"LINESTRING (16.320937480772805 48.22421015874281, 16.320813661788904 48.224242485372265)",Clemens-Krau*,9.877308,
OEFFGRUENLINGOGD.172,172,"LINESTRING (16.253745949894427 48.145808033327256, 16.253825144921787 48.14576396180269)",WienerwaldS,7.664621,
OEFFGRUENLINGOGD.173,173,"LINESTRING (16.27461581879808 48.1375243380558, 16.274566852956 48.137533393293985)",ob. Liesing,3.780941,
OEFFGRUENLINGOGD.174,174,"LINESTRING (16.27943558056626 48.138719729840204, 16.279395082675933 48.138662172632415)",Park RudolfZ,7.074249,
OEFFGRUENLINGOGD.175,175,"LINESTRING (16.28035989407094 48.14028446095883, 16.280394845053646 48.14028353449393)",Park RudolfZ,2.603214,
OEFFGRUENLINGOGD.176,176,"LINESTRING (16.280843150922532 48.13829869688333, 16.281014314875495 48.138263348121775)",Park RudolfZ,13.331713,
OEFFGRUENLINGOGD.177,177,"LINESTRING (16.41114742967286 48.302827260433915, 16.4111473883093 48.30285787093329)",Karl-Brunner*,3.403806,
