FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16057635,"LINESTRING (16.266943610014437 48.17852240429606, 16.267054460421626 48.17860510962455, 16.26707609120865 48.17861873834756, 16.267216490084813 48.178707189928474, 16.26722326147461 48.178711465764586, 16.267234643776874 48.178716706635754, 16.267424877674454 48.178804342420435, 16.267479247007454 48.178821201188285)",Markierte Anlagen,Radfahren gegen die Einbahn,16057635,
RADWEGEOGD.16057636,"LINESTRING (16.338868639587997 48.190627442198235, 16.338788508851533 48.19068369662829, 16.33832801751649 48.190737980655996, 16.338266632676394 48.19073898909372, 16.33821572489057 48.19073198435677, 16.338155845858566 48.19071896330796, 16.33804078126991 48.19067763258781, 16.337926886417232 48.19062041973373)",Markierte Anlagen,Mehrzweckstreifen,16057636,
RADWEGEOGD.16057637,"LINESTRING (16.302249676544896 48.165835399956734, 16.302361545151992 48.16582469486674, 16.302516247366494 48.16578821854237, 16.302857498510136 48.16569396947443, 16.303387552200743 48.16554614648433, 16.303495022762412 48.16551617551145)",Getrennte Führung,Verkehrsberuhigte Bereiche,16057637,
RADWEGEOGD.16057638,"LINESTRING (16.466039491144162 48.248556254107115, 16.46600735273256 48.24855721672503, 16.46591801942425 48.24848539970617, 16.465834330278852 48.24842506045587, 16.46579428702513 48.24839368369762, 16.465762228442646 48.24835695600743, 16.46574351730737 48.24832168812531, 16.465734202864866 48.24828569918645, 16.46573480469021 48.248257451129476, 16.46573404613951 48.248223709812564, 16.465732493415477 48.24819006831538, 16.4657174305366 48.248149157629456, 16.46569666509032 48.24812147325229, 16.465631466430683 48.24803011372838)",Getrennte Führung,gemischter Geh- und Radweg,16057638,
RADWEGEOGD.16057639,"LINESTRING (16.35794804662299 48.20500677575531, 16.358009980689804 48.20496124944808, 16.35827287487451 48.204772090298185, 16.35912528226816 48.20413268693761, 16.35935231139186 48.20396483733655, 16.359356293556953 48.2039648365294, 16.35944851080157 48.20389507565911)",Getrennte Führung,baulicher Radweg,16057639,
RADWEGEOGD.16057640,"LINESTRING (16.343053918871178 48.2204838066808, 16.34316717650488 48.22076471898842, 16.343172601807897 48.220778163422665, 16.34325676861589 48.22098819336312)",Getrennte Führung,baulicher Radweg,16057640,
RADWEGEOGD.16057641,"LINESTRING (16.428161167321797 48.24546459777103, 16.428604058398616 48.24520426902823, 16.42892593673362 48.245021754920465)",Markierte Anlagen,Radfahren gegen die Einbahn,16057641,
RADWEGEOGD.16057642,"LINESTRING (16.470699117626697 48.19906826988883, 16.470641960355042 48.19904780535651, 16.470606165487244 48.1990429909318, 16.470548229312328 48.19905897667859, 16.470392276841217 48.19914504402014, 16.470014608837364 48.19937607019747, 16.469910387952353 48.19944022312903)",Getrennte Führung,Verkehrsberuhigte Bereiche,16057642,
RADWEGEOGD.16057643,"LINESTRING (16.381005157481056 48.1883684435605, 16.381016228778517 48.18807931656773, 16.381091225237512 48.18789998060976)",Markierte Anlagen,Radfahrerüberfahrt,16057643,
RADWEGEOGD.16057644,"LINESTRING (16.35544934384838 48.204210419520244, 16.355635309372524 48.204246234821525, 16.35573822117171 48.204265120916446)",Markierte Anlagen,Mehrzweckstreifen,16057644,
RADWEGEOGD.16057645,"LINESTRING (16.35145422912498 48.2224649358875, 16.351455441080564 48.22246735488375, 16.351613588408096 48.222781716277325, 16.35169268972573 48.22293893285495, 16.351765248362597 48.22308816434781, 16.35178412876517 48.223127012189444)",Markierte Anlagen,Radfahren gegen die Einbahn,16057645,
RADWEGEOGD.16056503,"LINESTRING (16.36065028262192 48.1925855342326, 16.360773511472825 48.19269189737335, 16.36101747110082 48.192992145627606)",Getrennte Führung,baulicher Radweg,16056503,
RADWEGEOGD.16056504,"LINESTRING (16.347230100517326 48.15471858228232, 16.34774185856911 48.154549988675456, 16.348119516616247 48.154426652038815)",Getrennte Führung,baulicher Radweg,16056504,
RADWEGEOGD.16056505,"LINESTRING (16.451599649460643 48.2825295542462, 16.452956704884024 48.282850630749664, 16.452971612263642 48.28285407792312)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056505,
RADWEGEOGD.16056506,"LINESTRING (16.38384847894555 48.24250068736269, 16.381603291080292 48.24465728598908)",Getrennte Führung,Radfahren in Wohnstrassen,16056506,
RADWEGEOGD.16056507,"LINESTRING (16.30923343446282 48.12986116753756, 16.308426735220337 48.13004997065402)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056507,
RADWEGEOGD.16056508,"LINESTRING (16.399816638505406 48.27829355462573, 16.396323653425966 48.27933978526094)",Getrennte Führung,Verkehrsberuhigte Bereiche,16056508,
RADWEGEOGD.16056509,"LINESTRING (16.440243562946108 48.29748510985707, 16.440242859328126 48.2975036181671, 16.440239635428494 48.29758839845791, 16.440243443044185 48.297863330160475, 16.440257083133908 48.29818804738768, 16.440265811564714 48.29849004364223, 16.440265902061135 48.29853450513308, 16.440266283030795 48.29872167685443, 16.44026387047058 48.29877466600992, 16.440253858751234 48.29899446488124, 16.44024147839102 48.29928889909004, 16.440232785443254 48.29944151877308, 16.440225809958676 48.29956384835414, 16.440222944882862 48.29975219207672, 16.44022362762604 48.30008774854974, 16.440232798999876 48.30046162562288)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056509,
RADWEGEOGD.16056510,"LINESTRING (16.473401572112508 48.163596499340365, 16.473304383203107 48.163506494073964)",Markierte Anlagen,Radfahrerüberfahrt,16056510,
RADWEGEOGD.16056511,"LINESTRING (16.340771448410916 48.143899792793306, 16.340902797136803 48.14400630371184)",Markierte Anlagen,Radfahrerüberfahrt,16056511,
RADWEGEOGD.16056512,"LINESTRING (16.355011108437164 48.2092589307678, 16.35498379846954 48.20912097096294, 16.354969328568597 48.20910415610646)",Markierte Anlagen,Radfahrerüberfahrt,16056512,
RADWEGEOGD.16056513,"LINESTRING (16.39178944910391 48.216839304645255, 16.391743621409343 48.21691891635207)",Markierte Anlagen,Radfahrerüberfahrt,16056513,
RADWEGEOGD.16056514,"LINESTRING (16.459386165188935 48.2298857238128, 16.45941701716713 48.22993116005477, 16.459490321141796 48.22991455197963, 16.459882560742813 48.230109758084076, 16.460456459729098 48.23038743141606, 16.460848659789242 48.23055784015516, 16.46109528016677 48.23066915014451, 16.46127384002424 48.230728202644904, 16.461393501570264 48.23075562725175, 16.461574999618925 48.2307719586487, 16.463386686573003 48.23090186896542)",Getrennte Führung,Verkehrsberuhigte Bereiche,16056514,
