FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227851,POINT (16.283484232727318 48.17693240197674),13,Lainzer Straße vor 142-144,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227851,,13M5
MOBPROBLEMSTOFFOGD.227852,POINT (16.355408503044828 48.27529601547457),19,Bloschgasse ggü 13,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227852,,19M8
MOBPROBLEMSTOFFOGD.227853,POINT (16.342478855402604 48.254929471587815),19,Grinzinger Allee ggü 78,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227853,,19M7
MOBPROBLEMSTOFFOGD.227854,POINT (16.317573744840697 48.25391400837352),19,Sieveringer Straße vor 213,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227854,,19M6
MOBPROBLEMSTOFFOGD.227855,POINT (16.30208040404452 48.25081777420485),19,Neustift am Walde ggü 64,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227855,,19M5
MOBPROBLEMSTOFFOGD.227857,POINT (16.326342073229533 48.242613611663096),19,Gustav-Pick-Gasse vor 2,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227857,,19M4
MOBPROBLEMSTOFFOGD.227858,POINT (16.355054348661618 48.23959853990327),19,Döblinger Hauptstraße vor 72,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227858,,19M3
MOBPROBLEMSTOFFOGD.227859,POINT (16.350312318203986 48.23554024188383),19,Billrothstraße vor 10,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227859,,19M1
MOBPROBLEMSTOFFOGD.227860,POINT (16.26733933120104 48.15116211028132),23,Maurer Hauptplatz vor 10,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227860,,23M1
MOBPROBLEMSTOFFOGD.227862,POINT (16.343282910940868 48.245397822270434),19,Billrothstraße vor 81-83,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227862,,19M2
MOBPROBLEMSTOFFOGD.227863,POINT (16.389003194306962 48.17401647268573),10,Quellenstraße ggü 49,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227863,,10M6
MOBPROBLEMSTOFFOGD.227864,POINT (16.375663071211015 48.23878269572012),20,Leithastraße ggü 15,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227864,,20M2
MOBPROBLEMSTOFFOGD.227865,POINT (16.37259926403661 48.1954572386803),4,Taubstummengasse vor 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227865,,4M2
MOBPROBLEMSTOFFOGD.227866,POINT (16.317187864734716 48.15021627034046),23,Anton-Baumgartner-Straße ggü 40 (Erlaaer Schleife),http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227866,,23M4
