FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.31004439,31004439,POINT (16.335312338024284 48.22864304876094),18,Norbert-Liebermann-Park,,1585,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004440,31004440,POINT (16.30457388220457 48.20869262040087),16,Joachimsthalerplatz,,929,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004441,31004441,POINT (16.32937012374823 48.17400270615325),12,Edelsinnstraße ggü. 8
 8/ Hundezone,,405,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004442,31004442,POINT (16.4561142854876 48.26776892591054),21,Wassermanngasse/Seyringer Straße,,1596,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004443,31004443,POINT (16.394895714615842 48.196616239686236),3,Alma-Mahler-Werfel-Park,,1598,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004444,31004444,POINT (16.393162016932337 48.20150543980265),3,Rochuspark,,1597,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004445,31004445,POINT (16.403354879166983 48.22519823002304),2,Mexikoplatz (Hundezone),,1548,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004446,31004446,POINT (16.317112426258472 48.18866551536717),15,Auer-Welsbach-Park (Hundeauslauf),,672,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004447,31004447,POINT (16.31619612431676 48.18862030747915),15,Auer-Welsbach-Park (Hundeauslauf),,1599,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004448,31004448,POINT (16.39704905302598 48.2254189788099),2,Rudolf-Bednar-Park (Hundzone),,1549,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004449,31004449,POINT (16.397577861939283 48.22530327625501),2,Rudolf-Bednar-Park (Schilfgärten),,1588,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004450,31004450,POINT (16.39784106103607 48.225444540708764),2,Rudolf-Bednar-Park (Hauptweg),,1587,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004451,31004451,POINT (16.39855864402068 48.22582314305843),2,Rudolf-Bednar-Park/Fanny-Mintz-Gasse,,1586,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004452,31004452,POINT (16.291132073469818 48.182312405716466),13,Franz-Schalk-Platz ggü. 4,,1593,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004453,31004453,POINT (16.289216308774545 48.18206298765408),13,Franz-Schalk-Platz ggü. 14,,1592,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
