FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.9277404,9277404,POINT (16.38067371784758 48.15680309774165),
HYDRANTOGD.9277405,9277405,POINT (16.409792905023888 48.25040446221029),
HYDRANTOGD.9277406,9277406,POINT (16.288916375182964 48.2042121061168),
HYDRANTOGD.9277407,9277407,POINT (16.354871976825496 48.22549473281931),
HYDRANTOGD.9277408,9277408,POINT (16.375441435395327 48.239106487630366),
HYDRANTOGD.9277409,9277409,POINT (16.2947477949205 48.12994977502782),
HYDRANTOGD.9277410,9277410,POINT (16.364161207989056 48.206637383768864),
HYDRANTOGD.9277411,9277411,POINT (16.466600809879676 48.151838634102994),
HYDRANTOGD.9277412,9277412,POINT (16.331536244542782 48.176665150909876),
HYDRANTOGD.9277413,9277413,POINT (16.338298378244396 48.20621553503016),
HYDRANTOGD.9277414,9277414,POINT (16.327632777341087 48.174562584291756),
HYDRANTOGD.9277415,9277415,POINT (16.340552581677336 48.18022583866145),
HYDRANTOGD.9277416,9277416,POINT (16.28128488726904 48.15741959027826),
HYDRANTOGD.9277417,9277417,POINT (16.340751040810567 48.230017571478506),
HYDRANTOGD.9277418,9277418,POINT (16.345695307636902 48.156752717765904),
HYDRANTOGD.9277419,9277419,POINT (16.410933703376884 48.27788669734924),
HYDRANTOGD.9277420,9277420,POINT (16.298575674885313 48.22862652637428),
HYDRANTOGD.9277421,9277421,POINT (16.37241503357194 48.189644254286094),
HYDRANTOGD.9277422,9277422,POINT (16.462290001663835 48.19246499536125),
HYDRANTOGD.9277423,9277423,POINT (16.36734903096532 48.16648837202256),
HYDRANTOGD.9277424,9277424,POINT (16.545046399620592 48.21791052853539),
HYDRANTOGD.9277425,9277425,POINT (16.45579744427604 48.21178430982247),
HYDRANTOGD.9277426,9277426,POINT (16.25267447282837 48.20596878847258),
HYDRANTOGD.9277427,9277427,POINT (16.375680869715197 48.20642159545841),
HYDRANTOGD.9277428,9277428,POINT (16.45636576947481 48.22650382242507),
HYDRANTOGD.9277429,9277429,POINT (16.384869494883517 48.26077249333281),
HYDRANTOGD.9277430,9277430,POINT (16.379909984151062 48.168305425169216),
HYDRANTOGD.9277431,9277431,POINT (16.28831650871018 48.13815356376579),
HYDRANTOGD.9277432,9277432,POINT (16.324563064710606 48.242337686168284),
HYDRANTOGD.9277433,9277433,POINT (16.294684354284225 48.1856645957215),
HYDRANTOGD.9277434,9277434,POINT (16.38927347999345 48.27533151030274),
HYDRANTOGD.9277435,9277435,POINT (16.399501865407487 48.19447848275946),
HYDRANTOGD.9277436,9277436,POINT (16.3702226327225 48.17022559383089),
HYDRANTOGD.9277437,9277437,POINT (16.26274111901496 48.186922794238114),
HYDRANTOGD.9277438,9277438,POINT (16.346601624624064 48.15476665669329),
HYDRANTOGD.9277439,9277439,POINT (16.31589633467455 48.13426267962032),
HYDRANTOGD.9277440,9277440,POINT (16.357934054645845 48.24169486877002),
HYDRANTOGD.9277441,9277441,POINT (16.400691530672027 48.259632187067055),
HYDRANTOGD.9277442,9277442,POINT (16.39998141063392 48.25188718436),
HYDRANTOGD.9277443,9277443,POINT (16.35819580355355 48.209836442753236),
HYDRANTOGD.9277444,9277444,POINT (16.358737238135266 48.22640603037919),
HYDRANTOGD.9277445,9277445,POINT (16.43806875977486 48.262883444071946),
HYDRANTOGD.9277446,9277446,POINT (16.36401783502489 48.20986077751942),
HYDRANTOGD.9277447,9277447,POINT (16.385472909263797 48.18434130216835),
HYDRANTOGD.9277448,9277448,POINT (16.278381531460738 48.133178516379466),
HYDRANTOGD.9277449,9277449,POINT (16.35170465033327 48.196215954877296),
HYDRANTOGD.9277450,9277450,POINT (16.472164970319223 48.20396474755528),
HYDRANTOGD.9277451,9277451,POINT (16.35099106489098 48.20408976725303),
HYDRANTOGD.9277452,9277452,POINT (16.420782267423135 48.27473930234465),
HYDRANTOGD.9277453,9277453,POINT (16.296354643304813 48.1943862562107),
HYDRANTOGD.9277454,9277454,POINT (16.42644460456774 48.22140311861852),
HYDRANTOGD.9277455,9277455,POINT (16.395370903421604 48.25531315091602),
HYDRANTOGD.9277456,9277456,POINT (16.345394413170986 48.21695698139608),
HYDRANTOGD.9277457,9277457,POINT (16.304874126424327 48.23832042983796),
HYDRANTOGD.9277458,9277458,POINT (16.343963995974082 48.213983804295125),
HYDRANTOGD.9277459,9277459,POINT (16.294588424927426 48.16677598611622),
HYDRANTOGD.9277460,9277460,POINT (16.47197071121777 48.22659115927507),
HYDRANTOGD.9277461,9277461,POINT (16.326179553756322 48.257301924580794),
HYDRANTOGD.9277462,9277462,POINT (16.33935712205385 48.19713611257116),
HYDRANTOGD.9277463,9277463,POINT (16.290727453122205 48.196902360539674),
HYDRANTOGD.9277464,9277464,POINT (16.319572170288478 48.12920120829996),
HYDRANTOGD.9277465,9277465,POINT (16.46584706395981 48.2073629246781),
HYDRANTOGD.9277466,9277466,POINT (16.266724336107224 48.177066385922096),
HYDRANTOGD.9277467,9277467,POINT (16.315983834584372 48.22239935788431),
HYDRANTOGD.9277468,9277468,POINT (16.4189456755634 48.23575216375605),
HYDRANTOGD.9277469,9277469,POINT (16.36625880356202 48.25828816048495),
HYDRANTOGD.9277470,9277470,POINT (16.44758139794056 48.28335067774649),
HYDRANTOGD.9277471,9277471,POINT (16.494956385186082 48.27785129143306),
HYDRANTOGD.9277472,9277472,POINT (16.37455946286979 48.2545952261815),
HYDRANTOGD.9277473,9277473,POINT (16.39953351228795 48.217839619026314),
HYDRANTOGD.9277474,9277474,POINT (16.434485892680367 48.24145688705586),
HYDRANTOGD.9277475,9277475,POINT (16.340446694711332 48.22044553154214),
HYDRANTOGD.9277476,9277476,POINT (16.342213874676904 48.18489533233815),
HYDRANTOGD.9277477,9277477,POINT (16.534249029555415 48.207710524060005),
HYDRANTOGD.9277478,9277478,POINT (16.284564118351874 48.18981833914032),
HYDRANTOGD.9277479,9277479,POINT (16.255455303655378 48.218674235622615),
HYDRANTOGD.9277480,9277480,POINT (16.370134006778123 48.17850316914528),
HYDRANTOGD.9277481,9277481,POINT (16.47433004492498 48.24555127201615),
HYDRANTOGD.9277482,9277482,POINT (16.451670759367985 48.28262215807752),
HYDRANTOGD.9277483,9277483,POINT (16.353565725328224 48.180316143700445),
HYDRANTOGD.9277484,9277484,POINT (16.395957103495935 48.154934634083176),
HYDRANTOGD.9277485,9277485,POINT (16.496596315753138 48.27756276423392),
HYDRANTOGD.9277486,9277486,POINT (16.37502578165127 48.22111503782083),
HYDRANTOGD.9277487,9277487,POINT (16.44609975700796 48.2635759711268),
HYDRANTOGD.9277488,9277488,POINT (16.368090028529764 48.24844974625611),
HYDRANTOGD.9277489,9277489,POINT (16.26453293848623 48.17440709456406),
HYDRANTOGD.9277490,9277490,POINT (16.405102360026703 48.1543171530188),
HYDRANTOGD.9277491,9277491,POINT (16.40850535979623 48.17697866393599),
HYDRANTOGD.9277492,9277492,POINT (16.306284526626964 48.21224430767226),
HYDRANTOGD.9277493,9277493,POINT (16.514674711278637 48.21003208636432),
HYDRANTOGD.9277494,9277494,POINT (16.467433812908254 48.20207329161214),
HYDRANTOGD.9277495,9277495,POINT (16.386490588905016 48.14325316068933),
HYDRANTOGD.9277496,9277496,POINT (16.33704846387705 48.14103845732325),
HYDRANTOGD.9277497,9277497,POINT (16.420079683538326 48.23091676341025),
HYDRANTOGD.9277498,9277498,POINT (16.35701845384073 48.20456021270867),
