FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.363,POINT (16.457818114732483 48.18396798956779),2,Seitenhafenstr.-Zufahrt Zollfreizone,363,
AKUSTISCHEAMPELOGD.365,POINT (16.382058984994583 48.18269369246391),10,Karl Popper Strasse-Unterführung Alfred Adler Strasse,365,
AKUSTISCHEAMPELOGD.366,POINT (16.381235792754477 48.18232836013242),10,Karl Popper Strasse-Alfred Adler Strasse,366,
AKUSTISCHEAMPELOGD.367,POINT (16.33855654860969 48.20939600115318),16,Lerchenfelder Gürtel-Grundsteingasse,367,
AKUSTISCHEAMPELOGD.368,POINT (16.38055486398952 48.183695323105965),10,Karl Popper Strasse-Gerhard Bronner Strasse,368,
AKUSTISCHEAMPELOGD.369,POINT (16.285927049002296 48.13654036545016),23,Breitenfurter Str.-Karl-Sarg-Gasse,369,
AKUSTISCHEAMPELOGD.370,POINT (16.377799479975778 48.18409792629832),10,Gertrude Fröhlich Sandner Strasse-Gerhard Bronner Strasse,370,
AKUSTISCHEAMPELOGD.371,POINT (16.378281414394017 48.18553402499166),10,Gertrude Fröhlich Sandner Strasse-Canettistrasse,371,
AKUSTISCHEAMPELOGD.372,POINT (16.457228563760925 48.230722646519254),22,Stadlauer Strasse-Miriam Makeba Gasse,372,
AKUSTISCHEAMPELOGD.373,POINT (16.389883769656485 48.16535498752699),10,Laaer-Berg-Strasse-Käthe-Odwody-Gasse,373,
AKUSTISCHEAMPELOGD.374,POINT (16.351695942133347 48.19389659688831),6,Hofmühlg.-ON 15,374,
AKUSTISCHEAMPELOGD.375,POINT (16.381654932872753 48.187337360824),3,Arsenalstrasse-Erste Campus,375,
AKUSTISCHEAMPELOGD.376,POINT (16.34991959593752 48.14911952290935),23,Draschestr.-Büttnergasse,376,
AKUSTISCHEAMPELOGD.379,POINT (16.45622711892175 48.24325453936503),22,Hirschstettner Straße-Pogrelzstraße,379,
AKUSTISCHEAMPELOGD.380,POINT (16.487308946987497 48.23334613351276),22,Hausfeldstraße-Ostbahnbegleitstraße,380,
AKUSTISCHEAMPELOGD.381,POINT (16.488810432727274 48.23679421115479),22,Hausfeldstraße-Am Heidjöchl,381,
AKUSTISCHEAMPELOGD.382,POINT (16.483500579316093 48.24034893364861),22,Pirquetgasse-Zanggasse,382,
AKUSTISCHEAMPELOGD.386,POINT (16.45208436841486 48.24856902117991),22,Kagraner Platz-Breitenleer Str.,386,
AKUSTISCHEAMPELOGD.387,POINT (16.385615151402607 48.159682250766245),10,Ludwig von Höhnel Gasse-Zufahrt Laaerberbad,387,
AKUSTISCHEAMPELOGD.389,POINT (16.302412709681498 48.19811388977494),14,Hütteldorfer Str.-Ameisg. /Leyserstr.,389,
AKUSTISCHEAMPELOGD.390,POINT (16.470739371612016 48.15998903860587),11,Kaiser-Ebersdorfer Straße-Zinnerg./Etrichstr.,390,
AKUSTISCHEAMPELOGD.391,POINT (16.404780907629387 48.216914245133495),2,Max-Koppe- Gasse-Parkhaus WEST,391,
AKUSTISCHEAMPELOGD.392,POINT (16.34343161964366 48.20756312786431),8,Lerchenf. Str.-Schottenfeldg./Albertg,392,
AKUSTISCHEAMPELOGD.393,POINT (16.315144452928195 48.16450763037026),12,Breitenfurter Str.-Hetzendorfer Str.,393,
AKUSTISCHEAMPELOGD.394,POINT (16.338283906512316 48.198271134300136),15,Neubaugürtel-Felberstr.,394,
AKUSTISCHEAMPELOGD.396,POINT (16.338794905362537 48.1925953366855),6,Mariahilfer Gürtel-Mittelg.,396,
AKUSTISCHEAMPELOGD.402,POINT (16.360270674592154 48.20651139969328),1,Burgring-Bellariastr.,402,
AKUSTISCHEAMPELOGD.403,POINT (16.338693516645794 48.19729665015901),15,Neubaugürtel-Westbahnhof-Zufahrt,403,
AKUSTISCHEAMPELOGD.404,POINT (16.427888315847447 48.2472090492704),22,Dückeg.-Prandaug.,404,
AKUSTISCHEAMPELOGD.405,POINT (16.29691571426927 48.14623879842188),23,Brunner Str.-Erlaaer Str.,405,
AKUSTISCHEAMPELOGD.407,POINT (16.359660261515263 48.20385853803064),7,Messeplatz-Messezufahrt,407,
AKUSTISCHEAMPELOGD.408,POINT (16.415282582209183 48.18891676269283),3,Franzosengraben-Park and Ride Erdberg,408,
AKUSTISCHEAMPELOGD.410,POINT (16.326971766687933 48.18156537798123),12,Ruckerg.-Rosasg.,410,
AKUSTISCHEAMPELOGD.411,POINT (16.458596162583945 48.22173675900055),22,Langobardenstr.-Hardegg.,411,
AKUSTISCHEAMPELOGD.413,POINT (16.341840868566035 48.1962807264061),6,Mariahilfer Str.-Kaiserstr./Stumperg.,413,
AKUSTISCHEAMPELOGD.417,POINT (16.349537068219846 48.18064368035842),5,Margaretengürtel-Fendig.,417,
AKUSTISCHEAMPELOGD.418,POINT (16.421685855197254 48.16909222127149),11,Simmeringer Hptstr.-K.-Ebersdorfer Str.,418,
AKUSTISCHEAMPELOGD.421,POINT (16.2958225687951 48.1693845723247),13,Atzgersdorfer Strasse-ON 10,421,
AKUSTISCHEAMPELOGD.422,POINT (16.408897746814564 48.19455529074343),3,Erdbergstr.-Würtzlerstr.,422,
AKUSTISCHEAMPELOGD.426,POINT (16.30761188565353 48.226395488559156),17,Hernalser Hptstr.-Güpferlingstr.,426,
AKUSTISCHEAMPELOGD.427,POINT (16.348753796506475 48.24276635027089),19,Billrothstr.-Silberg./Hofzeile,427,
AKUSTISCHEAMPELOGD.428,POINT (16.33353225299713 48.17146412991959),12,Wienerbergstr.-Cothmannstr.,428,
AKUSTISCHEAMPELOGD.430,POINT (16.408608238408434 48.276495431464625),21,Brünner Str.-Siemensstr./Frauenst.g.,430,
AKUSTISCHEAMPELOGD.431,POINT (16.3704553507335 48.23631275283136),20,Jägerstr.-Wexstr./Stromstr.,431,
AKUSTISCHEAMPELOGD.432,POINT (16.368239141944414 48.219352320733684),9,Roßauer Lände-Türkenstr.,432,
AKUSTISCHEAMPELOGD.434,POINT (16.379116997608598 48.18138176299288),10,Landgutg.-Sonnwendg.,434,
AKUSTISCHEAMPELOGD.438,POINT (16.287943799701182 48.13798614400011),23,Breitenfurter Str.-Dr.Neumann-G.,438,
AKUSTISCHEAMPELOGD.440,POINT (16.29917193274788 48.17128784627601),13,Fasangarteng.-Klimtg.,440,
AKUSTISCHEAMPELOGD.441,POINT (16.337281423180325 48.190250385042894),15,Sechshauser Gürtel-Sechshauser Str.,441,
